Country,CEI,GCI,NCSI,DDL
Afghanistan,1,5.2,11.69,19.5
Albania,0.566,64.32,62.34,48.74
Algeria,0.721,33.95,33.77,42.81
Andorra,,26.38,,
Angola,,12.99,9.09,22.69
Antigua and Barbuda,,15.62,11.69,57.1
Argentina,0.514,50.12,63.64,60.43
Armenia,0.655,50.47,35.06,55.06
Australia,0.131,97.47,66.23,77.61
Austria,0.162,93.89,68.83,75.76
Azerbaijan,0.531,89.31,59.74,54.78
Bahamas,,13.37,20.78,65.1
Bahrain,,77.86,25.97,65.17
Bangladesh,0.759,81.27,67.53,33.11
Barbados,,16.89,19.48,73.1
Belarus,0.614,50.57,53.25,62.33
Belgium,0.19,96.25,94.81,74.07
Belize,,10.29,18.18,37.1
Benin,,80.06,58.44,25.83
Bhutan,,18.34,18.18,36.9
Bolivia,0.783,16.14,31.17,42.09
Bosnia and Herzegovina,0.583,29.44,28.57,49.31
Botswana,,53.06,29.87,41.96
Brazil,0.541,96.6,51.95,59.11
Brunei Darussalam,,56.07,41.56,67.5
Bulgaria,0.483,67.38,74.03,62.06
Burkina Faso,,39.98,,
Burundi,,1.73,7.79,18.64
Cabo Verde,,17.74,,
Cambodia,0.703,19.12,15.58,34.59
Cameroon,0.707,45.63,32.47,28.28
Canada,0.207,97.67,70.13,75.96
Central African Republic,,3.24,,
Chad,,40.44,20.78,17.28
Chile,0.469,68.83,59.74,61.44
China,0.483,92.53,51.95,62.41
Colombia,0.59,63.72,53.25,52.08
Comoros,,3.72,,
Congo,,14.72,5.19,18.91
Costa Rica,0.438,67.45,49.35,58.87
Cote d'ivoire,,67.82,31.17,33.54
Croatia,0.255,92.53,83.12,81.51
Cuba,,58.76,16.88,29.1
Cyprus,0.334,88.82,66.23,68.83
Czech Republic,0.334,74.37,92.21,69.21
Denmark,0.117,92.6,84.42,82.68
Djibouti,,1.73,,
Dominica,,4.2,3.9,56.9
Dominican Republic,0.497,75.05,71.43,45.21
Ecuador,0.652,26.3,53.25,45.57
Egypt,0.548,95.48,57.14,46.93
El Salvador,0.617,13.3,24.68,39.17
Equatorial Guinea,,1.46,,
Eritrea,,1.73,,
Estonia,0.134,99.48,93.51,75.59
Eswatini,,18.23,,
Ethiopia,0.866,27.74,32.47,20.7
Fiji,,29.08,,
Finland,0.11,95.78,85.71,78.35
France,0.228,97.6,84.42,77.29
Gabon,,11.36,,
Gambia,,32.12,11.69,
Georgia,0.383,81.06,64.94,53.5
Germany,0.241,97.41,90.91,80.01
Ghana,,86.69,31.17,40.68
Greece,0.4,93.98,96.1,64.02
Grenada,,9.41,20.78,58
Guatemala,,13.13,24.68,35.43
Guinea,,20.53,,
Guinea-Bissau,,9.85,,
Guyana,,28.11,10.39,42.91
Haiti,,6.4,10.39,26.46
Honduras,0.603,2.2,22.08,35.09
Hungary,0.286,91.28,67.53,64.25
Iceland,0.348,79.81,55.84,78.64
India,0.597,97.5,59.74,40.02
Indonesia,0.617,94.88,38.96,47.41
Iran,,81.07,14.29,51.04
Iraq,0.69,20.71,5.19,
Ireland,0.255,85.86,75.32,75.18
Israel,0.297,90.93,67.53,75.5
Italy,0.269,96.13,79.22,67.26
Jamaica,,32.53,41.56,48.18
Japan,0.138,97.82,63.64,78.69
Jordan,0.586,70.96,28.57,54.07
Kazakhstan,0.579,93.15,48.05,60.18
Kenya,0.548,81.7,41.56,37.14
Kiribati,,13.84,5.19,21.7
Kuwait,0.428,75.07,,
Kyrgyzstan,0.693,49.64,37.66,42.96
Lao PDR,,20.34,18.18,32.37
Latvia,0.352,97.28,75.32,66.23
Lebanon,0.579,30.44,,
Lesotho,,9.08,,
Liberia,,9.72,19.48,
Libya,0.793,28.78,10.39,41.1
Liechtenstein,,35.15,31.17,
Lithuania,0.297,97.93,93.51,67.34
Luxembourg,0.124,97.41,66.23,78.4
Madagascar,,23.33,12.99,22.8
Malawi,,36.83,27.27,23.2
Malaysia,0.293,98.06,79.22,62.19
Maldives,,2.95,,
Mali,,10.14,19.48,
Malta,,83.65,50.65,71.74
Marshall Islands,,4.9,,
Mauritania,,18.94,11.69,11.3
Mauritius,0.2,96.89,44.16,53.57
Mexico,0.483,81.68,37.66,51.46
Moldova,0.545,75.78,50.65,56.79
Monaco,,72.57,40.26,
Mongolia,0.738,26.2,18.18,46.41
Montenegro,,53.23,35.06,57.79
Morocco,0.748,82.41,70.13,46.88
Mozambique,,24.18,9.09,24.88
Myanmar,0.91,36.41,10.39,34.29
Namibia,0.679,11.47,15.58,37.28
Nauru,,21.42,,
Nepal,0.762,44.99,28.57,30.58
Netherlands,0.262,97.05,83.12,81.86
New Zealand,0.179,84.04,51.95,76.81
Nicaragua,0.6,9,29.87,32.7
Niger,,11.38,,
Nigeria,0.614,84.76,54.55,31.76
North Korea,,1.35,,
North Macedonia,0.352,89.92,55.84,55.36
Norway,0.134,96.89,67.53,80.19
Oman,,96.04,45.45,59.51
Pakistan,0.755,64.88,42.86,32.23
Palestine,0.855,25.18,,
Panama,0.569,34.11,50.65,48.43
Papua New Guinea,,26.33,22.08,
Paraguay,0.414,57.09,63.64,42.58
Peru,0.648,55.67,62.34,48.23
Philippines,0.621,77,63.64,45.99
Poland,0.286,93.86,87.01,65.03
Portugal,0.303,97.32,89.61,68.46
Qatar,0.241,94.5,58.44,64.99
Romania,0.462,76.29,89.61,59.84
Russia,0.528,98.06,71.43,65.12
Rwanda,,79.95,33.77,30.23
Saint Kitts and Nevis,,12.44,11.69,72.4
Saint Lucia,,10.96,12.99,46.3
Saint Vincent and the Grenadines,,12.18,7.79,55.4
Samoa,,29.33,10.39,33
San Marino,,13.83,23.08,
Sao Tome and Principe,,15.64,,
Saudi Arabia,0.39,99.54,84.42,63.89
Senegal,,35.85,19.48,33.04
Serbia,0.434,89.8,80.52,59.81
Seychelles,,13.23,10.39,50.3
Sierra Leone,,25.31,7.79,
Singapore,0.231,98.52,71.43,79.93
Slovakia,0.262,92.36,83.12,65.44
Slovenia,0.283,74.93,59.74,69.74
Solomon Islands,,7.08,2.6,21.1
Somalia,,17.25,18.18,
South Africa,0.417,78.46,36.36,49.24
South Korea,0.269,98.52,68.83,75.76
South Sudan,,5.75,1.3,
Spain,0.21,98.52,88.31,72.21
Sri Lanka,0.745,58.65,44.16,43.02
Sudan,,35.03,11.69,25.5
Suriname,,31.2,22.08,51.5
Sweden,0.21,94.55,84.42,81.51
Switzerland,0.172,86.97,76.62,82.93
Syria,,22.14,15.58,33.4
Tajikistan,,17.01,10.39,34.56
Tanzania,0.731,90.58,24.68,26.96
Thailand,0.445,86.5,64.94,56.63
Timor-Leste,,4.26,,
Togo,,33.19,,
Tonga,,20.95,23.38,43.4
Trinidad and Tobago,,22.18,33.77,52.6
Tunisia,0.614,86.23,53.25,46.26
Turkey,0.483,97.49,54.55,58.29
Turkmenistan,,14.48,7.79,
Tuvalu,,5.78,2.6,
Uganda,0.634,69.98,50.65,26.71
Ukraine,0.569,65.93,75.32,55.96
United Arab Emirates,0.359,98.06,40.26,68.87
United Kingdom,0.207,99.54,89.61,79.96
United States,0.145,100,64.94,81.05
Uruguay,0.348,75.15,59.74,63.86
Uzbekistan,0.721,71.11,36.36,49
Vanuatu,,12.88,25.97,28.1
Vatican City,,,2.6,
Venezuela,0.807,27.06,28.57,43.14
Vietnam,,94.59,36.36,47.69
Yemen,,,7.79,
Zambia,0.745,68.88,55.84,29.66
Zimbabwe,0.724,36.49,15.58,28.97
